"","Day","Hr","ActFrcst","GenFrac","Date"
"467",31,5,1,0.999999999874767,2017-03-19
"468",32,5,1,0.557385256813347,2017-03-20
"469",33,5,1,0.031730028936908,2017-03-21
"470",34,5,1,0.68817482393469,2017-03-22
"471",35,5,1,0.735099867821083,2017-03-23
"472",36,5,1,0.700652617433036,2017-03-24
"473",37,5,1,0.503856565693833,2017-03-25
"474",38,5,1,0.792586750331892,2017-03-26
"475",39,5,1,0.0443349324079912,2017-03-27
"476",40,5,1,0.0121941616090684,2017-03-28
"477",41,5,1,0.11308240576312,2017-03-29
"478",42,5,1,0.452759632016614,2017-03-30
"479",43,5,1,0.68047052069981,2017-03-31
"480",44,5,1,0.575104787101131,2017-04-01
"481",45,5,1,0,2017-04-02
"482",46,5,1,0.999999999809159,2017-04-03
"483",47,5,1,0.0912103382119454,2017-04-04
"484",48,5,1,0.768773267285522,2017-04-05
"485",49,5,1,0.37343491902774,2017-04-06
"486",50,5,1,0.572597073549291,2017-04-07
"487",51,5,1,0.313387340501658,2017-04-08
"488",52,5,1,0.0731470705321543,2017-04-09
"489",53,5,1,0.0151507959907375,2017-04-10
"490",54,5,1,0.959462330899829,2017-04-11
"491",55,5,1,0.902346634277033,2017-04-12
"492",56,5,1,0.997234069058135,2017-04-13
"493",57,5,1,0.995584478662719,2017-04-14
"494",58,5,1,0.456554089828385,2017-04-15
"495",59,5,1,0.217142671454333,2017-04-16
"496",60,5,1,0.978459906477834,2017-04-17
"497",61,5,1,0.963138980414387,2017-04-18
"498",62,5,1,0.219032625025793,2017-04-19
"499",63,5,1,0.758186614818564,2017-04-20
"500",64,5,1,0.551330258131987,2017-04-21
"501",65,5,1,0.277307713935323,2017-04-22
"502",66,5,1,0.238927912313929,2017-04-23
"503",67,5,1,0.130870539113369,2017-04-24
"504",68,5,1,0.898710862396814,2017-04-25
"505",69,5,1,0.0270095728202751,2017-04-26
"506",70,5,1,0.588108480648439,2017-04-27
"507",71,5,1,0.0954668246681864,2017-04-28
"508",72,5,1,0.632824581093829,2017-04-29
"509",73,5,1,0.927813405759597,2017-04-30
"510",74,5,1,0.673307786791723,2017-05-01
"511",75,5,1,0.808298390453144,2017-05-02
"512",76,5,1,0.719529483130343,2017-05-03
"513",77,5,1,0.804108780763613,2017-05-04
"514",78,5,1,0,2017-05-05
"515",79,5,1,0.356387637644693,2017-05-06
"516",80,5,1,0.0569946840234961,2017-05-07
"517",81,5,1,0.902830930308084,2017-05-08
"518",82,5,1,0.388846532322668,2017-05-09
"519",83,5,1,0.566509587613588,2017-05-10
"520",84,5,1,0.898558514685603,2017-05-11
"521",85,5,1,0.927094358314171,2017-05-12
"522",86,5,1,0.780818128726779,2017-05-13
"523",87,5,1,0.727180755732251,2017-05-14
"524",88,5,1,0.168169783517692,2017-05-15
"525",89,5,1,0.0393779358612657,2017-05-16
"526",90,5,1,0.00184844936523836,2017-05-17
"527",91,5,1,0.266966434212317,2017-05-18
